ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
miritipalm,miriti palm,3811,MIRITI PALM,§93_oliveiraprotopanoan
tofeellonging,miss (somebody),2328,MISS (SOMEBODY),§217_oliveiraprotopanoan
mix,mix,2017,MIX,452_girardprototakanan
muela,molar tooth,1049,MOLAR TOOTH,1_girardprototakanan
monkey,monkey,1350,MONKEY,38_girardprotopanotakanan
moon,moon,1313,MOON,"§39_oliveiraprotopanoan, 37_girardprototakanan"
morning,morning,1339,MORNING,
choppermortar,mortar,224,MORTAR,66_girardprotopanotakanan
mosquito,mosquito,1509,MOSQUITO,"§90_oliveiraprotopanoan, 137_girardprototakanan"
mother,mother,1216,MOTHER,"228_girardprototakanan, 269_girardprototakanan, 12_girardprotopanotakanan"
mountain,mountain,639,MOUNTAIN,278_girardprototakanan
mouse,mouse,1491,MOUSE,
mouth,mouth,674,MOUTH,"232_girardprototakanan, 59_girardprotopanotakanan"
move,move,765,MOVE,
mud,mud,640,MUD,
rataraton,muroid (mouse or rat),2139,MUROID (MOUSE OR RAT),393_girardprototakanan
hongo,mushroom,641,MUSHROOM,390_girardprototakanan
mute,mute,1666,MUTE,
naked,naked,590,NAKED,
name,name,1405,NAME,"§48_oliveiraprotopanoan, 41_girardprototakanan"
narrow,narrow,1267,NARROW,
nasalmucussnot,nasal mucus (snot),208,NASAL MUCUS (SNOT),
navel,navel,1838,NAVEL,126_girardprototakanan
near,near,1942,NEAR,
neck,neck,1333,NECK,"§455_oliveiraprotopanoan, 307_girardprototakanan, 349_girardprototakanan"
necklace,necklace,1961,NECKLACE,168_girardprototakanan
needleforsewing,needle (for sewing),1382,NEEDLE (FOR SEWING),§421_oliveiraprotopanoan
nephew,nephew,1063,NEPHEW,"§327_oliveiraprotopanoan, 79_girardprototakanan, 441_girardprototakanan"
nest,nest,539,NEST,§251_oliveiraprotopanoan
new,new,1231,NEW,§71_oliveiraprotopanoan
night,night,1233,NIGHT,"502_girardprototakanan, 71_girardprotopanotakanan, 94_girardprotopanotakanan"
no,no,1269,NO,
nose,nose,1221,NOSE,472_girardprototakanan
noseholenostril,nostril,1178,NOSTRIL,§363_oliveiraprotopanoan
not,not,1240,NOT,
now,now,1376,NOW,§349_oliveiraprotopanoan
oar,oar,3137,OAR,§483b_oliveiraprotopanoan
obscuro,obscure,1764,OBSCURE,16_girardprototakanan
smell,odor (smell),3704,ODOR (SMELL),"§482_oliveiraprotopanoan, §332_oliveiraprotopanoan"
old,old,1229,OLD,"§413_oliveiraprotopanoan, 60_girardprototakanan, 114_girardprotopanotakanan"
